year,Base case diesel consumed,Kwethluk wind feasibility,Modeled wind power
2019,120467.166609,100988.237498,100470.828444
2020,122270.79231,102791.863199,102274.454145
2021,124074.418011,104595.4889,104078.079845
2022,125502.288358,106023.359247,105505.950192
2023,126779.856562,107300.927451,106783.518397
2024,128057.424767,108578.495656,108061.086602
2025,129334.992972,109856.063861,109338.654807
2026,130687.712248,111208.783137,110691.374082
2027,132716.791161,113237.86205,112720.452996
2028,134144.661508,114665.732397,114148.323342
2029,135347.078642,115868.149531,115350.740476
2030,136699.797918,117220.868807,116703.459752
2031,138052.517193,118573.588082,118056.179028
2032,139480.38754,120001.458429,119484.049374
2033,141058.560028,121579.630917,121062.221863
2034,142486.430375,123007.501264,122490.092209
2035,143989.451792,124510.522681,123993.113627
2036,145567.624281,126088.69517,125571.286115
2037,147521.552123,128042.623012,127525.213958
2038,149024.573541,129545.64443,129028.235375
