year,Base case diesel consumed,Modeled diesel efficiency
2019,120467.166609,109515.606008
2020,122270.79231,111155.265736
2021,124074.418011,112794.925464
2022,125502.288358,114092.989416
2023,126779.856562,115254.415057
2024,128057.424767,116415.840697
2025,129334.992972,117577.266338
2026,130687.712248,118807.011134
2027,132716.791161,120651.628328
2028,134144.661508,121949.69228
2029,135347.078642,123042.798765
2030,136699.797918,124272.543561
2031,138052.517193,125502.288358
2032,139480.38754,126800.352309
2033,141058.560028,128235.054571
2034,142486.430375,129533.118523
2035,143989.451792,130899.501629
2036,145567.624281,132334.203891
2037,147521.552123,134110.50193
2038,149024.573541,135476.885037
