year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,158732.174649,117461.80924
2018,158732.174649,117461.80924
2019,158732.174649,117461.80924
2020,158732.174649,117461.80924
2021,158732.174649,117461.80924
2022,158732.174649,117461.80924
2023,158732.174649,117461.80924
2024,158732.174649,117461.80924
2025,158732.174649,117461.80924
2026,158732.174649,117461.80924
2027,158732.174649,117461.80924
2028,158732.174649,117461.80924
2029,158732.174649,117461.80924
2030,158732.174649,117461.80924
2031,158732.174649,117461.80924
