year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,43865.07,777811.8,517150.41,51470.05,236738.47,454542.72
2018,46856.0,828606.09,564317.91,54805.84,250941.87,492010.65
2019,50885.79,898448.25,615896.3,59227.77,270471.55,535796.98
2020,52790.51,930194.68,654685.74,61379.14,279348.68,564733.76
2021,54251.57,954004.51,684554.83,63055.15,286006.52,586909.8
2022,55243.07,969877.73,704837.54,64205.97,290445.08,601919.28
2023,56045.87,982576.3,728373.96,65144.95,293995.93,618238.04
2024,56667.02,992100.23,744980.93,65885.91,296659.07,629865.72
2025,57383.33,1003211.49,762858.34,66733.93,299766.07,642553.04
2026,58289.44,1017497.38,788390.39,67795.2,303760.77,660373.32
2027,59056.74,1028608.63,812047.57,68741.25,306867.77,676480.16
2028,59698.68,1038132.56,834856.11,69521.49,309530.9,691784.38
2029,60598.89,1052418.46,856080.98,70570.49,313525.61,707082.44
2030,61148.01,1060355.07,878248.08,71247.66,315744.89,721710.31
2031,62063.5,1074640.96,900013.16,72325.64,319739.6,737337.53
2032,,,927609.8,,,756415.84
2033,,,949974.27,,,772408.29
2034,,,979573.95,,,792992.63
2035,,,1004447.08,,,809554.89
2036,,,1034845.95,,,830626.21
