year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,23193.87,1404577.0,1404577.0
2004,,23193.87,1421038.0,1421038.0
2005,,23193.87,1418722.0,1418722.0
2006,,23193.87,1432478.0,1432478.0
2007,,23193.87,1396479.0,1396479.0
2008,,23193.87,1421490.0,1421490.0
2009,,23193.87,1411372.0,1411372.0
2010,,23193.87,1371000.0,1371000.0
2011,,23193.87,1411925.0,1411925.0
2012,,23193.87,1479595.0,1479595.0
2013,,23193.87,1490688.0,1490688.0
2014,,23193.87,1501492.0,1501492.0
2015,,23193.87,1620721.0,1620721.0
2016,start of forecast,23193.87,1534000.0,1534000.0
2017,,23193.87,1552000.0,1552000.0
2018,,23193.87,1584000.0,1584000.0
2019,,23193.87,1603000.0,1603000.0
2020,,23193.87,1627000.0,1627000.0
2021,,23193.87,1651000.0,1651000.0
2022,,23193.87,1670000.0,1670000.0
2023,,23193.87,1687000.0,1687000.0
2024,,23193.87,1704000.0,1704000.0
2025,,23193.87,1721000.0,1721000.0
2026,,23193.87,1739000.0,1739000.0
2027,,23193.87,1766000.0,1766000.0
2028,,23193.87,1785000.0,1785000.0
2029,,23193.87,1801000.0,1801000.0
2030,,23193.87,1819000.0,1819000.0
2031,,23193.87,1837000.0,1837000.0
2032,,23193.87,1856000.0,1856000.0
2033,,23193.87,1877000.0,1877000.0
2034,,23193.87,1896000.0,1896000.0
2035,,23193.87,1916000.0,1916000.0
2036,,23193.87,1937000.0,1937000.0
2037,,23193.87,1963000.0,1963000.0
2038,,23193.87,1983000.0,1983000.0
2039,,23193.87,2006000.0,2006000.0
2040,,23193.87,2030000.0,2030000.0
