year,Base case cost,Kwethluk wind feasibility,Modeled wind power
2019,416816.396467,569906.398936,668587.593408
2020,447511.099855,593234.197922,689545.894259
2021,472723.532622,612002.902748,706020.571607
2022,490713.947478,624470.539037,716268.397806
2023,505851.627684,634507.322718,724145.166189
2024,518632.570307,642607.126923,730143.554666
2025,532860.171045,652074.38078,737553.626472
2026,550195.268563,664402.266611,747863.024518
2027,568027.86617,677641.332934,759138.782463
2028,582187.830944,687453.884307,767037.718253
2029,599587.558383,700087.906583,777789.157927
2030,612415.094671,708889.019446,784768.481463
2031,630900.003573,722759.941071,796842.198086
2032,649978.605936,737297.758755,809624.004739
2033,670028.160134,752878.015142,823488.478557
2034,691059.187318,769343.925139,838273.49205
2035,706988.2083,781438.527398,848743.160934
2036,729293.797645,799313.752105,865013.319675
2037,747934.269265,814251.399312,878400.086782
2038,768966.79947,831147.705772,893768.044502
