year,Base case diesel consumed,Modeled solar power (pv)
2016,115281.742719,113277.241937
2017,116634.461995,114645.997219
2018,119039.296262,117066.739205
2019,120467.166609,118510.390008
2020,122270.79231,120329.669922
2021,124074.418011,122148.824602
2022,125502.288358,123592.099696
2023,126779.856562,124884.94941
2024,128057.424767,126177.676872
2025,129334.992972,127470.28306
2026,130687.712248,128837.920015
2027,132716.791161,130881.797267
2028,134144.661508,132324.347564
2029,135347.078642,133541.32721
2030,136699.797918,134908.492497
2031,138052.517193,136275.542216
2032,139480.38754,137717.628363
2033,141058.560028,139309.902924
2034,142486.430375,140751.762528
2035,143989.451792,142268.661288
