year,Base case cost,Modeled biomass for heat (cordwood)
2017,777810.941232,917948.592896
2018,828605.181232,952939.449891
2019,898447.261232,1002074.72147
2020,930193.661232,1023100.25545
2021,954003.461232,1038314.73301
2022,969876.661232,1047716.80929
2023,982575.221232,1054826.23281
2024,992099.141232,1059641.72103
2025,1003210.38123,1065683.08329
2026,1017496.26123,1074122.78374
2027,1028607.50123,1080264.87883
2028,1038131.42123,1085281.88936
2029,1052417.30123,1093867.42529
2030,1060353.90123,1097804.56329
2031,1074639.78123,1106481.7152
2032,,
2033,,
2034,,
2035,,
2036,,
