year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,116634.46,8951.78,158732.17,93003.73
2018,119039.3,8975.98,158732.17,95963.72
2019,120467.17,8990.18,158732.17,97443.71
2020,122270.79,9008.39,158732.17,100403.7
2021,124074.42,9026.65,158732.17,102623.69
2022,125502.29,9041.19,158732.17,104103.68
2023,126779.86,9054.04,158732.17,106323.67
2024,128057.42,9066.5,158732.17,107803.67
2025,129334.99,9079.42,158732.17,109283.66
2026,130687.71,9093.3,158732.17,111503.65
2027,132716.79,9113.48,158732.17,113723.65
2028,134144.66,9128.03,158732.17,115943.64
2029,135347.08,9139.89,158732.17,117423.63
2030,136699.8,9153.69,158732.17,119643.62
2031,138052.52,9167.22,158732.17,121123.62
2032,139480.39,,,123343.61
2033,141058.56,,,124823.6
2034,142486.43,,,127043.59
2035,143989.45,,,129263.58
2036,145567.62,,,131483.57
