year,Base case diesel consumed,Modeled diesel efficiency
2019,8255.44448111,7504.94952828
2020,8255.44448111,7504.94952828
2021,8362.6580458,7602.41640527
2022,8362.6580458,7602.41640527
2023,8362.6580458,7602.41640527
2024,8362.6580458,7602.41640527
2025,8362.6580458,7602.41640527
2026,8362.6580458,7602.41640527
2027,8362.6580458,7602.41640527
2028,8362.6580458,7602.41640527
2029,8362.6580458,7602.41640527
2030,8362.6580458,7602.41640527
2031,8362.6580458,7602.41640527
2032,8362.6580458,7602.41640527
2033,8362.6580458,7602.41640527
2034,8362.6580458,7602.41640527
2035,8469.87161048,7699.88328226
2036,8469.87161048,7699.88328226
2037,8469.87161048,7699.88328226
2038,8469.87161048,7699.88328226
