year,Base case cost,Modeled transmission and interties
2021,118080.731607,
2022,120422.275859,
2023,122262.06063,
2024,123600.085917,
2025,125272.617526,
2026,127279.655457,
2027,128952.187066,
2028,130457.465514,
2029,132297.250284,
2030,133468.022411,
2031,135475.060342,
2032,137482.098273,
2033,139489.136204,
2034,141663.427296,
2035,144834.804539,
2036,147036.971158,
2037,148392.150616,
2038,150424.919802,
2039,152118.894124,
2040,154490.458175,
