year,Base case cost,Modeled water and wastewater efficiency
2017,85028.2931551,60021.8439574
2018,89851.1935323,63202.5655181
2019,96417.3763649,67555.0214474
2020,99495.7410181,69567.8087233
2021,101548.736321,70894.1043715
2022,102985.679396,71807.5787384
2023,104114.685958,72515.3716022
2024,104935.938937,73017.7190325
2025,105962.218328,73658.8474991
2026,107193.512715,74438.7282011
2027,108221.352953,75085.1289029
2028,109144.6506,75660.1765201
2029,110273.461904,76374.8530765
2030,110991.909574,76814.8408612
2031,112222.8831,77599.8318544
