year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,63047.1453096,46654.8875291
2018,63047.1453096,46654.8875291
2019,63047.1453096,46654.8875291
2020,63047.1453096,46654.8875291
2021,63047.1453096,46654.8875291
2022,63047.1453096,46654.8875291
2023,63047.1453096,46654.8875291
2024,63047.1453096,46654.8875291
2025,63047.1453096,46654.8875291
2026,63047.1453096,46654.8875291
2027,63047.1453096,46654.8875291
2028,63047.1453096,46654.8875291
2029,63047.1453096,46654.8875291
2030,63047.1453096,46654.8875291
2031,63047.1453096,46654.8875291
