year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9118.54142937,5927.05192909
2018,9118.85889312,5927.25828053
2019,9119.30646497,5927.54920223
2020,9119.80648039,5927.87421226
2021,9120.33545321,5928.21804458
2022,9120.71723707,5928.46620409
2023,9121.01615208,5928.66049885
2024,9121.32587607,5928.86181944
2025,9121.81228018,5929.17798212
2026,9122.26745835,5929.47384793
2027,9123.26682197,5930.12343428
2028,9124.34211534,5930.82237497
2029,9125.04509939,5931.27931461
2030,9125.89140252,5931.82941164
2031,9126.67458653,5932.33848125
