year,Base case diesel consumed,Modeled solar power (pv)
2016,54255.9910748,54004.9801051
2017,54255.9910748,54006.9881928
2018,54255.9910748,54008.9802159
2019,54255.9910748,54010.9563028
2020,54327.9283963,54084.8539024
2021,54327.9283963,54086.7984983
2022,54327.9283963,54088.7275375
2023,54327.9283963,54090.6411444
2024,54327.9283963,54092.5394424
2025,54327.9283963,54094.422554
2026,54327.9283963,54096.2906008
2027,54327.9283963,54098.1437031
2028,54399.8657177,54171.9193021
2029,54399.8657177,54173.7428734
2030,54399.8657177,54175.5518562
2031,54399.8657177,54177.3463671
2032,54399.8657177,54179.1265219
2033,54471.8030391,54252.8297569
2034,54471.8030391,54254.5815432
2035,54471.8030391,54256.3193151
