year,Base case diesel consumed,Modeled residential ashp
2017,34551.2041628,16617.4024784
2018,34551.2041628,16617.4024784
2019,34551.2041628,16617.4024784
2020,34551.2041628,16617.4024784
2021,35594.9242106,17661.1225262
2022,35594.9242106,17661.1225262
2023,35594.9242106,17661.1225262
2024,35594.9242106,17661.1225262
2025,35594.9242106,17661.1225262
2026,35594.9242106,17661.1225262
2027,35594.9242106,17661.1225262
2028,36638.6442584,18704.842574
2029,36638.6442584,18704.842574
2030,36638.6442584,18704.842574
2031,36638.6442584,18704.842574
