year,Base case cost,Modeled solar power (pv)
2016,139437.897062,141134.961788
2017,166023.332689,167603.952978
2018,185555.489476,187053.684387
2019,212683.485013,214066.320473
2020,225460.902844,226795.911981
2021,234153.371388,235458.263161
2022,240672.722795,241957.614825
2023,245018.957067,246293.730474
2024,248821.912055,250089.153542
2025,253711.425611,254966.657134
2026,259144.21845,260385.387835
2027,263490.452722,264722.45347
2028,267647.339331,268872.671318
2029,272543.327246,273757.649015
2030,275807.319189,277017.611046
2031,281247.305761,282444.806841
2032,287231.290989,288414.074244
2033,293058.300351,294228.867505
2034,299050.198685,300206.650431
2035,302863.224898,304014.484663
