year,Base case cost,Modeled biomass for heat (cordwood)
2017,348841.534613,402266.986403
2018,375341.934613,420761.560732
2019,411117.474613,446140.092423
2020,427680.224613,457337.593534
2021,438942.894613,464640.730973
2022,447555.524613,470008.405916
2023,452855.604613,472950.18613
2024,458155.684613,475914.86888
2025,463455.764613,478901.917387
2026,470743.374613,483380.415607
2027,476705.964613,486900.50471
2028,481343.534613,489461.684779
2029,487968.634613,493512.814536
2030,491943.694613,495624.331541
2031,498568.794613,499714.725285
2032,,
2033,,
2034,,
2035,,
2036,,
