year,Base case cost,Modeled diesel efficiency
2019,309382.663066,473386.596948
2020,325988.424808,483979.705771
2021,337633.966476,490169.063574
2022,347778.342325,495096.791544
2023,353839.653364,496413.29317
2024,360428.496731,498307.661372
2025,366047.247093,499416.114883
2026,374118.668729,502848.00787
2027,380942.069255,505236.877526
2028,387037.014905,507052.911281
2029,394576.478607,510269.443894
2030,399552.630865,511240.947884
2031,407155.823305,514683.926541
2032,413195.891431,516787.188148
2033,420915.034769,520496.281178
2034,426324.011369,522182.761173
2035,431447.978893,523685.863195
2036,440431.960646,528772.01555
2037,444335.345822,529311.657124
2038,456448.231565,537385.001907
