year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,7214.6661682,4689.53300933
2018,7217.27142676,4691.2264274
2019,7224.11792319,4695.67665007
2020,7226.17470627,4697.01355907
2021,7228.96863824,4698.82961486
2022,7233.58101478,4701.82765961
2023,7236.37764595,4703.64546987
2024,7239.33892773,4705.57030302
2025,7241.47290765,4706.95738997
2026,7243.63684859,4708.36395158
2027,7245.40481829,4709.51313189
2028,7249.82447264,4712.38590722
2029,7252.4920825,4714.11985363
2030,7254.87141883,4715.66642224
2031,7256.53061117,4716.74489726
