year,Base case cost,Modeled solar power (pv)
2016,212832.74054,218143.321421
2017,247567.557875,252220.841852
2018,273552.065494,277696.438443
2019,309382.663066,312901.608214
2020,325988.424808,329152.836916
2021,337633.966476,340522.030756
2022,347778.342325,350431.20623
2023,353839.653364,356306.23306
2024,360428.496731,362713.252494
2025,366047.247093,368154.542531
2026,374118.668729,376027.20637
2027,380942.069255,382673.342806
2028,387037.014905,388612.016963
2029,394576.478607,395974.112778
2030,399552.630865,400810.084004
2031,407155.823305,408243.908596
2032,413195.891431,414110.492104
2033,420915.034769,421660.201183
2034,426324.011369,426903.710115
2035,431447.978893,431897.806012
