year,Base case diesel consumed,Modeled residential ashp
2017,62189.9270154,7975.50197936
2018,62189.9270154,7975.50197936
2019,63403.1599561,9188.73492004
2020,63403.1599561,9188.73492004
2021,64616.3928968,10401.9678607
2022,64616.3928968,10401.9678607
2023,64616.3928968,10401.9678607
2024,65829.6258375,11615.2008014
2025,65829.6258375,11615.2008014
2026,65829.6258375,11615.2008014
2027,65829.6258375,11615.2008014
2028,67042.8587781,12828.4337421
2029,67042.8587781,12828.4337421
2030,67042.8587781,12828.4337421
2031,67042.8587781,12828.4337421
