year,Base case diesel consumed,Modeled solar power (pv)
2016,61869.9827152,60946.4884698
2017,62047.0069862,61130.9006948
2018,62312.5433927,61403.7659516
2019,62755.1040703,61853.5968486
2020,62932.1283413,62037.8331774
2021,63109.1526123,62222.0118097
2022,63463.2011543,62583.1574782
2023,63640.2254253,62767.2220986
2024,63905.7618318,63039.7425317
2025,63994.2739673,63135.1828216
2026,64171.2982383,63319.0798218
2027,64348.3225093,63502.9218401
2028,64613.8589158,63775.2214519
2029,64790.8831868,63958.9548227
2030,64967.9074578,64142.6345206
2031,65144.9317288,64326.2609751
2032,64967.9074578,64155.7860701
2033,65056.4195933,64250.7951767
2034,64790.8831868,63991.7037655
2035,64879.3953223,64086.6093364
