year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2001,,,2.6
2004,,2.36,3.25
2005,,2.98,3.4
2010,,4.4,5.5
2011,,4.52,5.5
2012,,4.62,6.0
2013,,4.51,6.0
2014,,4.24,6.0
2016,start of forecast,3.44,4.72
2017,,3.99,5.27
2018,,4.39,5.67
2019,,4.93,6.21
2020,,5.18,6.46
2021,,5.35,6.63
2022,,5.48,6.76
2023,,5.56,6.84
2024,,5.64,6.92
2025,,5.72,7.0
2026,,5.83,7.11
2027,,5.92,7.2
2028,,5.99,7.27
2029,,6.09,7.37
2030,,6.15,7.43
2031,,6.25,7.53
2032,,6.36,7.64
2033,,6.47,7.75
2034,,6.58,7.86
2035,,6.65,7.93
2036,,6.77,8.05
2037,,6.83,8.11
2038,,6.95,8.23
2039,,7.03,8.31
2040,,7.16,8.44
