year,Base case cost,Koliganek wind diesel and heat recovery,Modeled wind power
2017,247567.557875,,
2018,273552.065494,,
2019,309382.663066,,
2020,325988.424808,,
2021,337633.966476,,
2022,347778.342325,,
2023,353839.653364,,
2024,360428.496731,,
2025,366047.247093,,
2026,374118.668729,,
2027,380942.069255,,
2028,387037.014905,,
2029,394576.478607,,
2030,399552.630865,,
2031,407155.823305,,
2032,413195.891431,,
2033,420915.034769,,
2034,426324.011369,,
2035,431447.978893,,
2036,440431.960646,,
2037,444335.345822,,
2038,456448.231565,,
