year,Base case cost,Modeled water and wastewater efficiency
2017,71079.608415,59535.2726889
2018,76715.9654188,63237.5305709
2019,84371.2001588,68355.534756
2020,87906.4605656,70600.9862299
2021,90329.3597631,72074.6528955
2022,92215.5828102,73178.5444606
2023,93376.9672542,73781.1274645
2024,94541.4280932,74390.7499771
2025,95695.6917726,74998.0321673
2026,97273.3726274,75905.7552361
2027,98564.8687437,76618.123599
2028,99612.4099573,77164.5099147
2029,101059.273124,77994.1974685
2030,101939.043873,78431.9891649
2031,103373.120014,79261.1369768
