year,Base case cost,Modeled biomass for heat (pellet)
2017,160293.419568,186926.045558
2018,175307.579568,197165.792147
2019,196438.619568,211780.095876
2020,206448.059568,218471.492553
2021,213677.099568,223189.990445
2022,218681.819568,226332.027005
2023,222574.379568,228690.729522
2024,225354.779568,230265.862822
2025,229247.339568,232643.933452
2026,233695.979568,235428.033078
2027,237588.539568,237824.57458
2028,240368.939568,239436.660014
2029,244817.579568,242247.500762
2030,247041.899568,243480.104484
2031,252046.619568,246704.428443
2032,,
2033,,
2034,,
2035,,
2036,,
