year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,55608.0,41117.4592822
2018,55608.0,41117.4592822
2019,55608.0,41117.4592822
2020,55608.0,41117.4592822
2021,55608.0,41117.4592822
2022,55608.0,41117.4592822
2023,55608.0,41117.4592822
2024,55608.0,41117.4592822
2025,55608.0,41117.4592822
2026,55608.0,41117.4592822
2027,55608.0,41117.4592822
2028,55608.0,41117.4592822
2029,55608.0,41117.4592822
2030,55608.0,41117.4592822
2031,55608.0,41117.4592822
2032,,
2033,,
2034,,
2035,,
2036,,
