year,Base case cost,Modeled biomass for heat (cordwood)
2017,160293.419568,216057.839483
2018,175307.579568,226059.352392
2019,196438.619568,240609.571784
2020,206448.059568,246961.480925
2021,213677.099568,251282.108514
2022,218681.819568,253982.052779
2023,222574.379568,255883.100057
2024,225354.779568,256984.700686
2025,229247.339568,258931.016258
2026,233695.979568,261310.347978
2027,237588.539568,263299.83476
2028,240368.939568,264487.802093
2029,244817.579568,266929.634737
2030,247041.899568,267746.633799
2031,252046.619568,270638.905021
2032,,
2033,,
2034,,
2035,,
2036,,
