year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2004,,1.48,2.03
2006,,2.33,2.63
2008,,3.46,3.78
2009,,2.33,4.35
2010,,2.93,4.35
2011,,3.71,3.85
2012,,3.82,4.08
2013,,3.73,4.19
2014,,3.73,3.88
2016,start of forecast,1.57,2.52
2017,,1.93,2.88
2018,,2.2,3.15
2019,,2.58,3.53
2020,,2.76,3.71
2021,,2.89,3.84
2022,,2.98,3.93
2023,,3.05,4.0
2024,,3.1,4.05
2025,,3.17,4.12
2026,,3.25,4.2
2027,,3.32,4.27
2028,,3.37,4.32
2029,,3.45,4.4
2030,,3.49,4.44
2031,,3.58,4.53
2032,,3.66,4.61
2033,,3.75,4.7
2034,,3.84,4.79
2035,,3.89,4.84
2036,,3.98,4.93
2037,,4.04,4.99
2038,,4.13,5.08
2039,,4.2,5.15
2040,,4.3,5.25
