year,population
2003,109.0
2004,106.0
2005,105.0
2006,99.0
2007,99.0
2008,93.0
2009,93.0
2010,104.0
2011,95.0
2012,94.0
2013,93.0
2014,92.0
2015,91.0
2016,90.0
2017,90.0
2018,89.0
2019,88.0
2020,87.0
2021,86.0
2022,85.0
2023,84.0
2024,83.0
2025,82.0
2026,81.0
2027,80.0
2028,79.0
2029,78.0
2030,77.0
2031,76.0
2032,75.0
2033,75.0
2034,74.0
2035,73.0
2036,73.0
2037,72.0
2038,71.0
2039,71.0
2040,70.0
