year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,73611.0,64286.6788637
2018,73609.0,64284.6788637
2019,73607.0,64282.6788637
2020,73604.0,64279.6788637
2021,73602.0,64277.6788637
2022,73601.0,64276.6788637
2023,74622.0,65297.6788637
2024,74621.0,65296.6788637
2025,74619.0,65294.6788637
2026,74617.0,65292.6788637
2027,74614.0,65289.6788637
2028,74612.0,65287.6788637
2029,74609.0,65284.6788637
2030,75629.0,66304.6788637
2031,75627.0,66302.6788637
2032,75624.0,66299.6788637
2033,75622.0,66297.6788637
2034,75620.0,66295.6788637
2035,75618.0,66293.6788637
2036,75616.0,66291.6788637
