year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,7434.59,147808.92,234307.04,13134.14,102263.84,158804.19
2018,7982.65,158901.41,245476.1,13814.02,107470.42,166889.41
2019,8709.61,173572.12,260248.08,14710.23,114356.53,177582.77
2020,9057.99,180728.57,267453.92,15154.01,117715.62,182799.05
2021,9297.75,185738.08,272498.01,15468.95,120066.97,186450.44
2022,9467.89,189316.3,276100.93,15695.01,121746.51,189058.57
2023,9584.2,191821.05,286530.57,15856.18,122922.19,195323.44
2024,9684.49,193967.99,288753.67,15993.64,123929.92,196924.71
2025,9800.1,196472.74,291347.3,16155.43,125105.59,198792.87
2026,9930.09,199335.32,294311.44,16342.53,126449.23,200927.9
2027,10041.56,201840.08,296905.06,16508.56,127624.9,202796.05
2028,10133.79,203987.01,299128.16,16654.31,128632.63,204397.33
2029,10262.03,206849.59,302092.31,16842.96,129976.26,206532.36
2030,10336.05,208638.7,312333.08,16967.26,130816.03,212591.0
2031,10483.84,211859.1,315759.77,17175.6,132327.62,215047.5
2032,10612.14,214721.68,318805.71,17363.91,133671.25,217231.06
2033,10754.11,217942.08,322232.4,17578.13,135182.84,219687.56
2034,10900.22,221162.48,325659.09,17787.92,136694.42,222144.06
2035,10993.92,223309.41,327943.55,17931.56,137702.15,223781.73
2036,11160.79,226887.63,331750.98,18159.83,139381.69,226511.17
2037,11238.64,228676.74,333654.69,18279.66,140221.46,227875.89
2038,11406.01,232254.97,346525.19,18507.3,141901.0,235729.9
2039,11516.28,234759.72,349261.97,18673.63,143076.68,237682.97
2040,11682.82,238337.94,353171.65,18901.98,144756.22,240473.07
