year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,242632.0,94244.0,148388.0
2004,,265361.0,97987.0,167374.0
2005,,229815.0,82053.0,147762.0
2006,,198596.0,82215.0,116381.0
2007,,217011.0,77697.0,139314.0
2008,,206189.0,96134.0,110055.0
2009,,252352.0,106056.0,146296.0
2010,,278569.0,121804.0,156765.0
2011,,268550.0,121172.0,147378.0
2012,,276278.0,97958.0,178320.0
2013,,212316.0,82420.0,129896.0
2014,start of forecast,249642.0,97777.0,151865.0
2015,,249787.0,97923.0,151865.0
2016,,249988.0,98123.0,151865.0
2017,,250219.0,98355.0,151865.0
2018,,250433.0,98569.0,151865.0
2019,,250632.0,98768.0,151865.0
2020,,250836.0,98972.0,151865.0
2021,,251046.0,99181.0,151865.0
2022,,251209.0,99345.0,151865.0
2023,,251370.0,99505.0,151865.0
2024,,251494.0,99629.0,151865.0
2025,,251659.0,99794.0,151865.0
2026,,251880.0,100015.0,151865.0
2027,,252107.0,100242.0,151865.0
2028,,252353.0,100488.0,151865.0
2029,,252585.0,100720.0,151865.0
2030,,252828.0,100963.0,151865.0
2031,,253019.0,101154.0,151865.0
2032,,253233.0,101368.0,151865.0
2033,,253504.0,101640.0,151865.0
2034,,253703.0,101839.0,151865.0
2035,,253890.0,102025.0,151865.0
2036,,254031.0,102166.0,151865.0
2037,,254184.0,102319.0,151865.0
2038,,254309.0,102445.0,151865.0
2039,,254496.0,102631.0,151865.0
2040,,254626.0,102761.0,151865.0
