year,Base case cost,Modeled diesel efficiency
2019,104082.844711,246966.5318
2020,110390.895906,249130.51995
2021,115174.501395,249992.334402
2022,118338.636049,249463.627279
2023,120553.530306,248151.783552
2024,122452.011099,246630.22989
2025,124666.905356,245472.436851
2026,127604.597147,245046.06061
2027,129826.567744,244041.614773
2028,131731.11397,242819.486171
2029,134698.122024,242632.455396
2030,136290.298407,241263.178705
2031,139156.215897,241117.865095
2032,141703.69811,240747.534238
2033,145028.56676,241146.876703
2034,147903.582401,241198.744674
2035,149820.259495,240439.437551
2036,153014.721318,240900.387458
2037,155101.230559,240411.368059
2038,158305.801438,240994.686587
