year,Base case diesel consumed,Modeled diesel efficiency
2019,32219.9394151,29290.8540137
2020,32141.7356787,29219.7597079
2021,32063.5319422,29148.665402
2022,31985.3282058,29077.5710961
2023,31907.1244693,29006.4767903
2024,31828.9207329,28935.3824844
2025,31750.7169964,28864.2881786
2026,31594.3095235,28722.0995669
2027,31516.1057871,28651.005261
2028,31437.9020507,28579.9109551
2029,31359.6983142,28508.8166493
2030,31281.4945778,28437.7223434
2031,31203.2908413,28366.6280376
2032,31125.0871049,28295.5337317
2033,31046.8833684,28224.4394258
2034,31046.8833684,28224.4394258
2035,30968.679632,28153.34512
2036,30890.4758955,28082.2508141
2037,30890.4758955,28082.2508141
2038,30812.2721591,28011.1565083
