year,Base case cost,Modeled residential energy efficiency
2017,464701.069107,462923.981145
2018,484526.364295,477920.021422
2019,521507.711079,508301.386496
2020,530996.535989,514570.708132
2021,534668.339692,515988.859543
2022,543398.811228,523109.579442
2023,541369.341381,519792.308285
2024,537420.15574,514877.271663
2025,534126.990397,510457.280173
2026,541593.766437,516475.279741
2027,537967.82658,511722.513737
2028,533338.623454,506127.459629
2029,530894.508076,502234.567778
2030,525102.888654,495638.072538
2031,522195.782648,491282.190058
2032,529011.478117,496649.109055
2033,525713.723768,491902.578232
2034,533142.034163,497721.136991
2035,537599.0204,501212.272246
2036,534537.701092,496541.2013
