year,Base case diesel consumed,Modeled diesel efficiency
2019,131123.185173,119202.895612
2020,131042.442774,119129.493431
2021,131769.124364,119790.113059
2022,132495.805955,120450.732686
2023,133464.714742,121331.558857
2024,134433.62353,122212.385027
2025,135160.30512,122873.004655
2026,135483.274716,123166.613378
2027,135725.501913,123386.819921
2028,135564.017115,123240.015559
2029,135725.501913,123386.819921
2030,134998.820322,122726.200293
2031,135160.30512,122873.004655
2032,135321.789918,123019.809017
2033,135483.274716,123166.613378
2034,135241.047519,122946.406836
2035,135079.562721,122799.602474
2036,134675.850727,122432.59157
2037,134191.396333,121992.178484
2038,133949.169136,121771.971942
