year,population
2003,395.0
2004,418.0
2005,410.0
2006,390.0
2007,424.0
2008,418.0
2009,392.0
2010,416.0
2011,429.0
2012,432.0
2013,440.0
2014,445.0
2015,450.0
2016,451.0
2017,450.0
2018,452.0
2019,454.0
2020,454.0
2021,457.0
2022,459.0
2023,463.0
2024,466.0
2025,469.0
2026,470.0
2027,471.0
2028,470.0
2029,471.0
2030,468.0
2031,469.0
2032,469.0
2033,470.0
2034,469.0
2035,468.0
2036,467.0
2037,465.0
2038,464.0
2039,463.0
2040,462.0
