year,Base case cost,Modeled diesel efficiency
2019,561207.23254,750511.566721
2020,589690.992483,776405.893942
2021,612726.428295,797347.199226
2022,630680.036346,813668.66109
2023,645969.219353,827567.918369
2024,658724.755296,839163.860135
2025,671746.716448,851002.006637
2026,686900.20281,864777.903331
2027,697629.079832,874531.427896
2028,706288.529169,882403.654566
2029,717987.905119,893039.450884
2030,720893.700522,895681.083068
2031,733920.456803,907523.588778
2032,748329.498248,920622.717364
2033,761416.003904,932519.540689
2034,773578.79181,943576.620603
2035,780759.872529,950104.875802
2036,791894.002272,960226.811932
2037,797096.894217,964956.713701
2038,807713.489891,974608.164312
