year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,10184.8287529,6620.13868939
2018,10375.4067091,6744.0143609
2019,10570.3040192,6870.6976125
2020,10765.8685114,6997.81453244
2021,10959.0827032,7123.40375709
2022,11152.6608125,7249.2295281
2023,11345.4720956,7374.55686214
2024,11540.8979526,7501.58366917
2025,11736.9801607,7629.03710448
2026,11933.79237,7756.96504053
2027,12128.317098,7883.4061137
2028,12320.6236622,8008.40538045
2029,12535.6599062,8148.17893903
2030,12745.1247467,8284.33108538
2031,12946.5335805,8415.24682732
