year,Base case diesel consumed,Modeled residential ashp
2017,70121.4810743,5135.80094422
2018,71763.0602569,6777.38012684
2019,73404.6394395,8418.95930947
2020,75046.2186221,10060.5384921
2021,76687.7978048,11702.1176747
2022,78329.3769874,13343.6968573
2023,79970.95617,14985.27604
2024,82433.3249439,17447.6448139
2025,84074.9041266,19089.2239965
2026,85716.4833092,20730.8031791
2027,87358.0624918,22372.3823618
2028,88999.6416744,24013.9615444
2029,91462.0104484,26476.3303183
2030,93103.589631,28117.909501
2031,94745.1688136,29759.4886836
