year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,50104.89,577804.11,330262.56,102641.15,539966.78,349995.09
2018,54051.32,611864.71,357281.21,108662.32,559616.13,370158.23
2019,59400.47,660019.35,393345.65,116609.73,586067.19,396687.85
2020,62437.31,681160.41,414661.16,121408.12,598914.84,412440.53
2021,64982.55,696428.95,432970.8,125528.6,607983.77,425960.76
2022,67245.65,708173.98,449498.21,129265.82,614785.47,438153.25
2023,69202.4,716395.51,464106.48,132582.94,619319.94,448942.6
2024,70971.46,722268.02,482216.48,135653.09,623098.66,462397.85
2025,72998.87,730489.55,497273.55,139077.55,627633.13,473434.32
2026,75177.65,739885.57,513337.99,142710.77,632923.34,485140.94
2027,77252.06,748107.1,528836.25,146194.01,637457.81,496420.34
2028,79216.2,755154.12,543722.69,149519.51,641236.53,507247.39
2029,81476.29,763375.64,564699.38,153325.0,646526.74,522512.05
2030,83474.97,769248.16,579148.95,156755.46,649549.72,532983.08
2031,85829.84,778644.19,596384.83,160644.14,654839.93,545334.73
2032,,,613864.13,,,557820.41
2033,,,632495.33,,,571055.83
2034,,,650476.67,,,583817.95
2035,,,666823.6,,,595449.18
2036,,,686215.47,,,609103.44
