year,Base case cost,Modeled biomass for heat (pellet)
2017,20535.3603979,23947.24295
2018,22458.8403979,25319.3808912
2019,25094.7203979,27199.7180699
2020,26448.2803979,28165.2966211
2021,27303.1603979,28775.135706
2022,28015.5603979,29283.3349435
2023,28443.0003979,29588.254486
2024,28870.4403979,29893.1740285
2025,29297.8803979,30198.093571
2026,29867.8003979,30604.6529609
2027,30366.4803979,30960.3924272
2028,30793.9203979,31265.3119697
2029,31292.6003979,31621.0514359
2030,31648.8003979,31875.1510546
2031,32218.7203979,32281.7104446
2032,,
2033,,
2034,,
2035,,
2036,,
