year,Base case diesel consumed,Modeled solar power (pv)
2016,54433.04597,53606.2974807
2017,54348.3911551,53528.2566537
2018,54263.7363402,53450.1629148
2019,54179.0815253,53372.0166873
2020,54094.4267104,53293.8183912
2021,54009.7718956,53215.5684428
2022,53925.1170807,53137.2672556
2023,53755.8074509,52974.2604244
2024,53671.152636,52895.8579857
2025,53586.4978211,52817.4055281
2026,53501.8430063,52738.9034515
2027,53417.1881914,52660.3521531
2028,53332.5333765,52581.7520265
2029,53332.5333765,52587.7582773
2030,53247.8785616,52509.0616632
2031,53247.8785616,52514.9721984
2032,53163.2237467,52436.1806344
2033,52993.914117,52272.6873495
2034,52909.2593021,52193.8023488
2035,52824.6044872,52114.8711895
