year,Base case cost,Modeled diesel efficiency
2019,210756.627133,378068.214364
2020,221246.205246,383233.773827
2021,227921.237399,385033.995969
2022,233495.756959,385933.783106
2023,236525.552784,384617.871553
2024,238836.62923,382743.97572
2025,242210.970152,381929.845081
2026,246643.496259,382168.678634
2027,249992.440736,381511.283339
2028,252262.882871,379960.194404
2029,256529.485541,380308.526432
2030,258784.689809,378911.058161
2031,263044.520094,379416.781543
2032,267411.015446,380098.383729
2033,270798.901138,379967.401817
2034,275128.148371,380767.458103
2035,277857.419603,380186.481899
2036,282611.634006,381518.131837
2037,284795.72823,380583.395532
2038,289077.568767,381624.145314
