year,Base case cost,Modeled solar power (pv)
2016,148057.885038,153757.894019
2017,171197.432139,176397.118418
2018,188295.165101,193093.402897
2019,210756.627133,215080.501661
2020,221246.205246,225280.795807
2021,227921.237399,231728.11515
2022,233495.756959,237095.652419
2023,236525.552784,239954.348337
2024,238836.62923,242113.855337
2025,242210.970152,245324.933754
2026,246643.496259,249582.790706
2027,249992.440736,252776.215187
2028,252262.882871,254909.838292
2029,256529.485541,259020.643616
2030,258784.689809,261145.861976
2031,263044.520094,265256.933382
2032,267411.015446,269470.893325
2033,270798.901138,272716.991399
2034,275128.148371,276900.642105
2035,277857.419603,279508.997474
