year,Base case diesel consumed,Modeled diesel efficiency
2019,54179.0815253,49253.7104776
2020,54094.4267104,49176.7515549
2021,54009.7718956,49099.7926323
2022,53925.1170807,49022.8337097
2023,53755.8074509,48868.9158645
2024,53671.152636,48791.9569418
2025,53586.4978211,48714.9980192
2026,53501.8430063,48638.0390966
2027,53417.1881914,48561.080174
2028,53332.5333765,48484.1212514
2029,53332.5333765,48484.1212514
2030,53247.8785616,48407.1623287
2031,53247.8785616,48407.1623287
2032,53163.2237467,48330.2034061
2033,52993.914117,48176.2855609
2034,52909.2593021,48099.3266382
2035,52824.6044872,48022.3677156
2036,52824.6044872,48022.3677156
2037,52739.9496723,47945.408793
2038,52655.2948574,47868.4498704
