year,Base case cost,Egegik wind feasibility study,Modeled wind power
2019,210756.627133,,
2020,221246.205246,,
2021,227921.237399,,
2022,233495.756959,,
2023,236525.552784,,
2024,238836.62923,,
2025,242210.970152,,
2026,246643.496259,,
2027,249992.440736,,
2028,252262.882871,,
2029,256529.485541,,
2030,258784.689809,,
2031,263044.520094,,
2032,267411.015446,,
2033,270798.901138,,
2034,275128.148371,,
2035,277857.419603,,
2036,282611.634006,,
2037,284795.72823,,
2038,289077.568767,,
