year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.52
2003,,1.41,1.6
2004,,1.74,2.24
2005,,2.22,3.3
2006,,2.98,3.25
2008,,4.8,4.3
2009,,4.25,4.85
2010,,3.31,3.4
2011,,4.13,4.68
2012,,4.73,5.12
2013,,4.61,5.15
2014,,4.66,4.95
2016,start of forecast,2.72,4.0
2017,,3.15,4.43
2018,,3.47,4.75
2019,,3.89,5.17
2020,,4.09,5.37
2021,,4.22,5.5
2022,,4.33,5.61
2023,,4.4,5.68
2024,,4.45,5.73
2025,,4.52,5.8
2026,,4.61,5.89
2027,,4.68,5.96
2028,,4.73,6.01
2029,,4.81,6.09
2030,,4.86,6.14
2031,,4.94,6.22
2032,,5.03,6.31
2033,,5.11,6.39
2034,,5.2,6.48
2035,,5.26,6.54
2036,,5.35,6.63
2037,,5.4,6.68
2038,,5.49,6.77
2039,,5.56,6.84
2040,,5.66,6.94
