year,Base case cost,Modeled water and wastewater efficiency
2017,74615.1740318,58845.6953102
2018,78412.6230762,61359.7741486
2019,83411.1280067,64714.6244842
2020,85755.9429154,66221.8479225
2021,87251.5938804,67139.7878304
2022,88496.7934832,67885.8663733
2023,89251.8603297,68292.8643935
2024,89772.2523177,68539.0656787
2025,90537.5270846,68958.8397425
2026,91549.3952296,69553.3432761
2027,92317.5581847,69980.4349254
2028,92843.7348158,70241.2697096
2029,93763.9721942,70779.8517873
2030,94316.4325734,71064.2462833
2031,95217.093376,71593.7031772
