year,annotation,diesel generation efficiency
2002,,12.67
2003,,12.97
2004,,12.73
2005,,13.74
2006,,14.72
2007,,11.4
2008,,11.03
2009,,11.32
2010,,11.34
2011,,11.11
2012,,11.73
2013,,12.34
2014,start of forecast,11.73
2015,,11.73
2016,,11.73
2017,,11.73
2018,,11.73
2019,,11.73
2020,,11.73
2021,,11.73
2022,,11.73
2023,,11.73
2024,,11.73
2025,,11.73
2026,,11.73
2027,,11.73
2028,,11.73
2029,,11.73
2030,,11.73
2031,,11.73
2032,,11.73
2033,,11.73
2034,,11.73
2035,,11.73
2036,,11.73
2037,,11.73
2038,,11.73
2039,,11.73
2040,,11.73
