year,Base case cost,Modeled biomass for heat (cordwood)
2017,355302.079671,391186.460859
2018,383208.589671,413438.111975
2019,427393.700085,450109.752968
2020,445740.740085,464575.414289
2021,458736.560085,474642.992815
2022,468674.540085,482203.71536
2023,474790.220085,486626.692986
2024,480141.440085,490433.700565
2025,487021.580085,495515.990082
2026,494666.180085,501242.697176
2027,508251.449708,513057.563829
2028,513674.209708,516991.021883
2029,521421.009708,522859.665988
2030,526069.089708,526177.935449
2031,533815.889708,532071.542926
2032,542337.369708,538617.946098
2033,550858.849708,545176.111586
2034,559380.329708,551745.763711
2035,564803.089708,555763.628911
2036,574099.249708,562996.204044
