year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,32739.18,0.0,51395.42,24028.29
2018,32739.18,0.0,51395.42,24028.29
2019,32739.18,0.0,51395.42,25050.84
2020,32739.18,0.0,51395.42,25050.84
2021,32739.18,0.0,51395.42,25050.84
2022,32739.18,0.0,51395.42,25050.84
2023,32739.18,0.0,51395.42,25050.84
2024,32739.18,0.0,51395.42,25050.84
2025,32739.18,0.0,51395.42,25050.84
2026,32824.43,0.0,51395.42,25050.84
2027,32824.43,0.0,51395.42,26073.38
2028,32824.43,0.0,51395.42,26073.38
2029,32824.43,0.0,51395.42,26073.38
2030,32824.43,0.0,51395.42,26073.38
2031,32824.43,0.0,51395.42,26073.38
2032,32824.43,0.0,51395.42,26073.38
2033,32824.43,0.0,51395.42,26073.38
2034,32824.43,0.0,51395.42,26073.38
2035,32824.43,0.0,51395.42,26073.38
2036,32824.43,0.0,51395.42,26073.38
2037,32824.43,0.0,51395.42,26073.38
2038,32824.43,0.0,51395.42,26073.38
2039,32824.43,0.0,51395.42,26073.38
2040,32824.43,0.0,51395.42,26073.38
