year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,51395.4212957,38032.6117588
2018,51395.4212957,38032.6117588
2019,51395.4212957,38032.6117588
2020,51395.4212957,38032.6117588
2021,51395.4212957,38032.6117588
2022,51395.4212957,38032.6117588
2023,51395.4212957,38032.6117588
2024,51395.4212957,38032.6117588
2025,51395.4212957,38032.6117588
2026,51395.4212957,38032.6117588
2027,51395.4212957,38032.6117588
2028,51395.4212957,38032.6117588
2029,51395.4212957,38032.6117588
2030,51395.4212957,38032.6117588
2031,51395.4212957,38032.6117588
