year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,75423.0,62030.1084761
2018,75423.0,62030.1084761
2019,76446.0,63053.1084761
2020,76446.0,63053.1084761
2021,76446.0,63053.1084761
2022,76446.0,63053.1084761
2023,76446.0,63053.1084761
2024,76446.0,63053.1084761
2025,76446.0,63053.1084761
2026,76446.0,63053.1084761
2027,77468.0,64075.1084761
2028,77468.0,64075.1084761
2029,77468.0,64075.1084761
2030,77468.0,64075.1084761
2031,77468.0,64075.1084761
2032,77468.0,64075.1084761
2033,77468.0,64075.1084761
2034,77468.0,64075.1084761
2035,77468.0,64075.1084761
2036,77468.0,64075.1084761
