year,Base case diesel consumed,Modeled solar power (pv)
2016,43840.1067885,43422.5539717
2017,43923.2905851,43509.0781909
2018,44006.4743818,43595.5756867
2019,44172.841975,43765.2304695
2020,44256.0257717,43851.6751582
2021,44422.3933649,44021.2775564
2022,44588.7609582,44190.8540761
2023,44755.1285515,44360.4049244
2024,44921.4961447,44529.9303067
2025,45087.863738,44699.4304267
2026,45254.2313313,44868.9054864
2027,45337.4151279,44955.1718898
2028,45503.7827212,45124.597429
2029,45670.1503144,45293.9985046
2030,45836.5179077,45463.3753123
2031,45919.7017043,45549.5442497
2032,46086.0692976,45718.8731027
2033,46252.4368909,45888.1782655
2034,46335.6206875,45974.2761311
2035,46501.9882808,46143.5344808
