year,Base case diesel consumed,"Central (circle hot springs, boulder creek)","Central(circle hot springs, crooked creek)","Central (circle hot springs, ketchem creek) -- ketchum creek","Central (circle hot springs, lower deadwood creek)","Central (circle hot springs, portage creek)","Central (circle hot springs, upper deadwood creek)"
2021,44422.3933649,21946.466656,21946.466656,21946.466656,21946.466656,21946.466656,21946.466656
2022,44588.7609582,22112.8342492,22112.8342492,22112.8342492,22112.8342492,22112.8342492,22112.8342492
2023,44755.1285515,22279.2018425,22279.2018425,22279.2018425,22279.2018425,22279.2018425,22279.2018425
2024,44921.4961447,22445.5694358,22445.5694358,22445.5694358,22445.5694358,22445.5694358,22445.5694358
2025,45087.863738,22611.937029,22611.937029,22611.937029,22611.937029,22611.937029,22611.937029
2026,45254.2313313,22778.3046223,22778.3046223,22778.3046223,22778.3046223,22778.3046223,22778.3046223
2027,45337.4151279,22861.4884189,22861.4884189,22861.4884189,22861.4884189,22861.4884189,22861.4884189
2028,45503.7827212,23027.8560122,23027.8560122,23027.8560122,23027.8560122,23027.8560122,23027.8560122
2029,45670.1503144,23194.2236055,23194.2236055,23194.2236055,23194.2236055,23194.2236055,23194.2236055
2030,45836.5179077,23360.5911987,23360.5911987,23360.5911987,23360.5911987,23360.5911987,23360.5911987
2031,45919.7017043,23443.7749954,23443.7749954,23443.7749954,23443.7749954,23443.7749954,23443.7749954
2032,46086.0692976,23610.1425886,23610.1425886,23610.1425886,23610.1425886,23610.1425886,23610.1425886
2033,46252.4368909,23776.5101819,23776.5101819,23776.5101819,23776.5101819,23776.5101819,23776.5101819
2034,46335.6206875,23859.6939785,23859.6939785,23859.6939785,23859.6939785,23859.6939785,23859.6939785
2035,46501.9882808,24026.0615718,24026.0615718,24026.0615718,24026.0615718,24026.0615718,24026.0615718
2036,46585.1720774,24109.2453684,24109.2453684,24109.2453684,24109.2453684,24109.2453684,24109.2453684
2037,46751.5396707,24275.6129617,24275.6129617,24275.6129617,24275.6129617,24275.6129617,24275.6129617
2038,46834.7234673,24358.7967583,24358.7967583,24358.7967583,24358.7967583,24358.7967583,24358.7967583
2039,47001.0910606,24525.1643516,24525.1643516,24525.1643516,24525.1643516,24525.1643516,24525.1643516
2040,47084.2748572,24608.3481482,24608.3481482,24608.3481482,24608.3481482,24608.3481482,24608.3481482
2041,47167.4586538,24691.5319449,24691.5319449,24691.5319449,24691.5319449,24691.5319449,24691.5319449
2042,47333.8262471,24857.8995381,24857.8995381,24857.8995381,24857.8995381,24857.8995381,24857.8995381
2043,47417.0100437,24941.0833348,24941.0833348,24941.0833348,24941.0833348,24941.0833348,24941.0833348
2044,47500.1938404,25024.2671314,25024.2671314,25024.2671314,25024.2671314,25024.2671314,25024.2671314
2045,47583.377637,25107.450928,25107.450928,25107.450928,25107.450928,25107.450928,25107.450928
2046,47666.5614336,25190.6347247,25190.6347247,25190.6347247,25190.6347247,25190.6347247,25190.6347247
2047,47749.7452303,25273.8185213,25273.8185213,25273.8185213,25273.8185213,25273.8185213,25273.8185213
2048,47832.9290269,25357.0023179,25357.0023179,25357.0023179,25357.0023179,25357.0023179,25357.0023179
2049,47916.1128235,25440.1861146,25440.1861146,25440.1861146,25440.1861146,25440.1861146,25440.1861146
2050,47999.2966202,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112
2051,47999.2966202,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112
2052,47999.2966202,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112
2053,47999.2966202,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112
2054,47999.2966202,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112
2055,47999.2966202,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112
2056,47999.2966202,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112
2057,47999.2966202,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112
2058,47999.2966202,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112
2059,47999.2966202,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112
2060,47999.2966202,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112
2061,47999.2966202,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112
2062,47999.2966202,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112
2063,47999.2966202,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112
2064,47999.2966202,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112
2065,47999.2966202,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112
2066,47999.2966202,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112
2067,47999.2966202,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112
2068,47999.2966202,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112
2069,47999.2966202,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112
2070,47999.2966202,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112,25523.3699112
