year,Base case cost,Modeled solar power (pv)
2016,67075.3633864,69762.8079941
2017,82575.7863,85052.9616924
2018,94173.855177,96481.6815042
2019,110873.833357,112970.754417
2020,119048.709326,121015.491991
2021,124826.925355,126690.281906
2022,129753.294388,131523.393448
2023,132922.731798,134617.401312
2024,135662.918357,137287.818661
2025,139321.49895,140870.505623
2026,143455.91332,144926.905456
2027,146439.850863,147842.23046
2028,149707.445153,151042.810219
2029,153451.705056,154717.857545
2030,156302.526065,157508.518703
2031,160259.758948,161395.923732
2032,164527.267392,165595.187133
2033,168821.394652,169822.619151
2034,173295.221371,174227.654687
2035,176242.535584,177122.059586
