year,Base case diesel consumed,Modeled diesel efficiency
2019,44172.841975,40157.1290682
2020,44256.0257717,40232.7507015
2021,44422.3933649,40383.9939681
2022,44588.7609582,40535.2372347
2023,44755.1285515,40686.4805013
2024,44921.4961447,40837.7237679
2025,45087.863738,40988.9670345
2026,45254.2313313,41140.2103011
2027,45337.4151279,41215.8319345
2028,45503.7827212,41367.0752011
2029,45670.1503144,41518.3184677
2030,45836.5179077,41669.5617343
2031,45919.7017043,41745.1833676
2032,46086.0692976,41896.4266342
2033,46252.4368909,42047.6699008
2034,46335.6206875,42123.2915341
2035,46501.9882808,42274.5348007
2036,46585.1720774,42350.156434
2037,46751.5396707,42501.3997006
2038,46834.7234673,42577.0213339
