year,Base case cost,Modeled diesel efficiency
2019,110873.833357,282908.493888
2020,119048.709326,286071.900097
2021,124826.925355,287156.562805
2022,129753.294388,287564.512768
2023,132922.731798,286470.656096
2024,135662.918357,285079.739258
2025,139321.49895,284614.710364
2026,143455.91332,284671.109461
2027,146439.850863,283768.389889
2028,149707.445153,283208.275774
2029,153451.705056,283164.24377
2030,156302.526065,282388.80486
2031,160259.758948,282698.111177
2032,164527.267392,283366.552884
2033,168821.394652,284134.453914
2034,173295.221371,285139.214624
2035,176242.535584,284828.010609
2036,180750.46766,286005.641834
2037,184201.066302,286290.509814
2038,188743.935573,287635.195783
