year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,45530.0,33665.4824864
2018,45530.0,33665.4824864
2019,45530.0,33665.4824864
2020,45530.0,33665.4824864
2021,45530.0,33665.4824864
2022,45530.0,33665.4824864
2023,45530.0,33665.4824864
2024,45530.0,33665.4824864
2025,45530.0,33665.4824864
2026,45530.0,33665.4824864
2027,45530.0,33665.4824864
2028,45530.0,33665.4824864
2029,45530.0,33665.4824864
2030,45530.0,33665.4824864
2031,45530.0,33665.4824864
2032,,
2033,,
2034,,
2035,,
2036,,
