year,Base case cost,Modeled biomass for heat (cordwood)
2017,156203.968606,191605.738719
2018,168041.768606,199625.296767
2019,184887.868606,211365.24853
2020,193083.268606,216725.546358
2021,198546.868606,220082.309511
2022,203099.868606,222781.773046
2023,205831.668606,224150.252081
2024,208108.168606,225197.344649
2025,211295.268606,226932.65737
2026,214937.668606,229019.185954
2027,217669.468606,230446.624658
2028,220401.268606,231887.949853
2029,223588.368606,233679.490895
2030,225864.868606,234810.96548
2031,229507.268606,236965.337337
2032,,
2033,,
2034,,
2035,,
2036,,
