year,Base case cost,"Central (circle hot springs, boulder creek)","Central(circle hot springs, crooked creek)","Central (circle hot springs, ketchem creek) -- ketchum creek","Central (circle hot springs, lower deadwood creek)","Central (circle hot springs, portage creek)","Central (circle hot springs, upper deadwood creek)"
2021,124826.925355,910431.109046,857704.016294,594414.80991,619178.195893,567656.299587,724992.798915
2022,129753.294388,896619.002204,844936.923671,586865.925805,611138.518742,560637.750501,714855.950101
2023,132922.731798,882247.0187,831585.461865,578610.370756,602403.673608,552900.100745,704073.085765
2024,135662.918357,868029.869722,818364.916109,570366.296442,593691.542571,545161.793319,693360.935976
2025,139321.49895,854702.445945,806010.737663,562871.953378,585740.112865,538161.36323,683456.362961
2026,143455.91332,842014.685458,794273.412074,555880.560794,578302.346605,531652.307538,674111.230182
2027,146439.850863,828935.502729,782122.388422,548364.237334,570350.111353,524607.016197,664296.332318
2028,149707.445153,816488.153871,770581.444913,541349.368226,562909.547136,518052.139393,655036.761646
2029,153451.705056,804656.226717,759634.679232,534822.597085,555967.058115,511974.579487,646317.89913
2030,156302.526065,792665.429362,748508.297384,528012.616175,548751.10271,505603.281425,637367.203977
2031,160259.758948,781501.527376,738188.551161,521908.105218,542250.132288,499927.171684,629172.151778
2032,164527.267392,770964.566218,728475.960862,516311.955599,536266.815224,494749.382628,621534.457984
2033,168821.394652,760763.467171,719079.91149,510935.867859,530512.634272,489781.850128,614164.674745
2034,173295.221371,750842.802587,709945.428222,505727.128342,524934.663107,484972.090334,607008.966982
2035,176242.535584,740495.585274,700365.966108,499981.400389,518828.357369,479615.99102,599361.902836
2036,180750.46766,731191.948892,691812.090654,495171.405922,513666.236162,475186.493268,592695.134759
2037,184201.066302,721716.016031,683068.346205,490083.795268,508234.751737,470470.461439,585794.268616
2038,188743.935573,713003.235304,675070.593224,485656.485451,503471.627689,466406.021568,579596.201484
2039,192234.462438,704110.119896,666875.747097,480948.400213,498435.598868,462052.301511,573158.861062
2040,197283.111652,696232.02381,659679.554604,477157.247645,494324.188895,458607.208689,567678.982731
2041,197631.65176,685922.224676,650035.676952,470838.604312,487692.794188,452626.514329,559711.193137
2042,198328.731975,676210.770469,640974.536692,465024.763194,481573.531807,447142.701505,552286.857622
2043,198677.272083,666394.726222,631793.564657,459014.981714,475265.487376,441455.21328,544704.327714
2044,199025.812191,656816.914384,622835.940527,453154.223372,469113.45662,435909.194446,537307.68223
2045,199374.352299,647471.751456,614096.429656,447438.995487,463113.783018,430501.329359,530092.564562
2046,199722.892407,638353.784681,605569.919969,441865.887155,457262.895667,425228.380012,523054.720114
2047,200071.432515,629457.689184,597251.419283,436431.567474,451557.307411,420087.184337,516189.994072
2048,200419.972623,620778.264834,589136.052366,431132.783569,445993.61279,415074.654345,509494.328955
2049,200768.512731,612310.433318,581219.058191,425966.358768,440568.486115,410187.774384,502963.762333
2050,201117.052839,604049.235572,573495.787532,420929.190995,435278.679795,405423.599617,496594.424822
2051,201117.052839,595641.28846,565613.159841,415669.710649,429772.482119,400430.714003,490033.997469
2052,201117.052839,587430.402604,557915.281232,410533.499372,424395.335947,395554.849143,483627.330128
2053,201117.052839,579411.959415,550397.821681,405517.668064,419144.216659,390793.262383,477370.819076
2054,201117.052839,571581.448421,543056.552526,400619.395261,414016.170435,386143.275274,471260.94495
2055,201117.052839,563934.465055,535887.34439,395835.925743,409008.312812,381602.272252,465294.271019
2056,201117.052839,556466.707867,528886.164576,391164.568796,404117.826856,377167.698993,459467.441013
2057,201117.052839,549173.976249,522049.074923,386602.696784,399341.96167,372837.06105,453777.177342
2058,201117.052839,542052.167998,515372.229532,382147.743628,394678.030806,368607.922417,448220.279204
2059,201117.052839,535097.277186,508851.872758,377797.203473,390123.410859,364477.904254,442793.620911
2060,201117.052839,528305.391581,502484.336803,373548.629074,385675.539787,360444.683365,437494.149885
2061,201117.052839,521672.690799,496266.039975,369399.63064,381331.915696,356505.991092,432318.885215
2062,201117.052839,515195.443945,490193.484483,365347.874359,377090.095296,352659.611922,427264.915813
2063,201117.052839,508870.007544,484263.254491,361391.081103,372947.69255,348903.382252,422329.398804
2064,201117.052839,502692.823617,478472.014319,357527.025226,368902.377405,345235.189249,417509.558019
2065,201117.052839,496660.417392,472816.506295,353753.533129,364951.874304,341652.969493,412802.682217
2066,201117.052839,490769.395668,467293.549222,350068.482241,361093.961107,338154.708,408206.123801
2067,201117.052839,485016.444813,461900.036501,346469.799763,357326.467781,334738.437039,403717.297261
2068,201117.052839,479398.328698,456632.93419,342955.461376,353647.27505,331402.234901,399333.677556
2069,201117.052839,473911.887194,451489.279604,339523.490305,350054.313408,328144.22501,395052.79895
2070,201117.052839,468554.034179,446466.179436,336171.956066,346545.561815,324962.574735,390872.253448
